,Classic multiplier,n,Original Strassen,Vinograd-Strassen
254,,169,,18.085661666664237
255,2.2999507333321767,171,,
256,,171,31.850016500000493,
257,,171,,17.929649800003972
258,2.382626466668929,173,,
259,,173,31.909719099998863,
260,,173,,17.976792499997828
261,2.4591134000002057,175,,
262,,175,31.845576799998526,
263,,175,,17.98188906666716
264,2.5399875000027046,177,,
265,,177,31.80481986666564,
266,,177,,17.900191866669047
267,2.626528666662731,179,,
268,,179,31.92618716666766,
269,,179,,17.984905200001474
270,2.7374401333314986,181,,
271,,181,31.807356266666222,
272,,181,,17.87711439999839
273,2.8165499333360153,183,,
274,,183,31.795335299997532,
275,,183,,17.939447466669662
276,2.8871666333337394,185,,
277,,185,31.747225400002208,
278,,185,,17.925394366667508
279,3.0291317999969274,187,,
280,,187,31.76625256666739,
281,,187,,17.922306733332032
282,3.1096736333323256,189,,
283,,189,31.759642033335695,
284,,189,,17.978795666667185
285,3.1726985666682594,191,,
286,,191,31.753912366667162,
287,,191,,17.940389199999725
288,3.3168818000000706,193,,
289,,193,32.03291826666342,
290,,193,,18.06343789999907
291,3.3963704666651515,195,,
292,,195,31.868644666666416,
293,,195,,17.922746900000977
294,3.5210345333374184,197,,
295,,197,31.813124466665613,
296,,197,,17.905403866667864
297,3.650770599999911,199,,
298,,199,31.8119862333333,
299,,199,,17.928443800000725
300,3.7380336666683434,201,,
301,,201,31.793853266669128,
302,,201,,18.244569199998903
303,3.8590770333345668,203,,
304,,203,31.914651066666313,
305,,203,,17.884384100000414
306,4.601663200000378,205,,
307,,205,31.782100500000524,
308,,205,,17.950336666666164
309,4.0799008000006625,207,,
310,,207,31.85431936666767,
311,,207,,17.932279099998897
312,4.185231333334134,209,,
313,,209,31.816508700001577,
314,,209,,17.93247080000098
315,4.330774666666305,211,,
316,,211,31.85994573333058,
317,,211,,17.884204733333416
318,4.466339699999177,213,,
319,,213,31.833110633332883,
320,,213,,18.350796866667224
321,4.5818128666675575,215,,
322,,215,31.903477966664166,
323,,215,,18.00346516666711
324,4.695828566664811,217,,
325,,217,31.854044700002607,
326,,217,,18.011647299999215
327,4.8162523000016035,219,,
328,,219,31.971546399998868,
329,,219,,17.95447560000078
330,4.9674659333347035,221,,
331,,221,31.876295999997335,
332,,221,,17.89336143333397
333,5.188550566669922,223,,
334,,223,31.86942853333312,
335,,223,,17.957640666665004
336,5.19696753333604,225,,
337,,225,31.69228249999772,
338,,225,,17.88412750000134
339,5.388576900001984,227,,
340,,227,31.880845800000923,
341,,227,,17.946606633331005
342,5.576899199998782,229,,
343,,229,31.89705099999992,
344,,229,,17.953430999999302
345,5.657449799997266,231,,
346,,231,31.87279966666635,
347,,231,,17.95104196666701
348,5.813410066664801,233,,
349,,233,31.861136833331937,
350,,233,,17.990469666663557
351,5.95871600000343,235,,
352,,235,31.99229326666682,
353,,235,,17.94206529999792
354,6.25791243333515,237,,
355,,237,31.81115243333382,
356,,237,,17.953315933332004
357,6.298173966667188,239,,
358,,239,31.844331433334446,
359,,239,,17.96185146666782
360,6.4672747000004165,241,,
361,,241,31.90687999999985,
362,,241,,17.93512550000014
363,6.619650333333993,243,,
364,,243,31.987468866665342,
365,,243,,17.996666533331638
366,6.758183833332926,245,,
367,,245,31.91492309999982,
368,,245,,17.93955570000253
369,6.908572799999092,247,,
370,,247,31.809221566666867,
371,,247,,17.88693120000001
372,7.067095566667073,249,,
373,,249,31.814723499997246,
374,,249,,17.983696433332323
375,7.223842166669783,251,,
376,,251,31.84589723333435,
377,,251,,17.87647196666512
378,7.4201118333318545,253,,
379,,253,31.849279199998517,
380,,253,,17.932092366667348
381,7.615005533332199,255,,
382,,255,31.867845966664998,
383,,255,,17.94205730000249
384,7.7930497666675365,257,,
385,,257,254.8730481333332,
386,,257,,126.54602073333565
387,8.04240026666715,259,,
388,,259,255.01394633333257,
389,,259,,125.39329893333343
390,8.201114933333884,261,,
391,,261,254.90046616666464,
392,,261,,125.23359366666409
393,8.359258799998011,263,,
394,,263,255.05887263333474,
395,,263,,125.47651156666446
396,8.5408644666677,265,,
397,,265,257.3395500333354,
398,,265,,125.52121196666364
399,8.796709966663911,267,,
400,,267,254.84242760000294,
401,,267,,125.95724146666664
402,8.993649399996988,269,,
403,,269,256.07660429999913,
404,,269,,125.95993176666282
405,9.260280933335403,271,,
406,,271,258.7519734999999,
407,,271,,127.2441154333331
408,9.419737566665086,273,,
409,,273,265.50348483333556,
410,,273,,129.47467040000143
411,10.059864700000617,275,,
412,,275,263.1892346333334,
413,,275,,135.4361950333332
414,9.847341333336468,277,,
415,,277,258.7855948333333,
416,,277,,129.61976813333604
417,15.029427766666535,279,,
418,,279,263.0581820666678,
419,,279,,129.47082023333255
420,10.546101333333354,281,,
421,,281,263.0517173333307,
422,,281,,129.44795066666848
423,10.75975393333647,283,,
424,,283,263.01723153333296,
425,,283,,126.62304386666801
426,10.791397433335078,285,,
427,,285,259.4098073999994,
428,,285,,129.6839491333376
429,11.264694733334181,287,,
430,,287,262.5341216333327,
431,,287,,127.18127916666951
432,11.252929499998572,289,,
433,,289,257.2670250333322,
434,,289,,126.36765653333471
435,11.494117200005954,291,,
436,,291,257.1120212666671,
437,,291,,126.51117619999665
438,11.777168466661047,293,,
439,,293,256.98622826666787,
440,,293,,127.69648593333356
441,11.982243133335336,295,,
442,,295,257.0737517666615,
443,,295,,126.58055953333194
444,12.21074479999758,297,,
445,,297,257.11150526666705,
446,,297,,130.22356909999993
447,12.69274363333534,299,,
448,,299,259.13207983332785,
449,,299,,126.89512880000984
450,12.785951266661868,301,,
451,,301,257.25607403333316,
452,,301,,126.79692019999978
453,13.83236330000121,303,,
454,,303,260.41620260000246,
455,,303,,129.06214483333073
456,13.713626900003874,305,,
457,,305,269.8720110666618,
458,,305,,130.69213633332888
459,13.520117733331668,307,,
460,,307,266.3630129999995,
461,,307,,130.85016573333027
462,14.195007066669254,309,,
463,,309,281.4910314000056,
464,,309,,130.54883033334045
465,14.315067300000615,311,,
466,,311,266.1363530666713,
467,,311,,130.91928193333538
468,14.457827833330763,313,,
469,,313,281.01466753333324,
470,,313,,129.6417267666693
471,14.810968166658617,315,,
472,,315,266.529282599998,
473,,315,,131.45526016666554
474,15.306800533333444,317,,
475,,317,265.2305957000014,
476,,317,,133.2670860333407
477,16.03751236666479,319,,
478,,319,270.2552149333351,
479,,319,,132.2490661333383
480,16.080014433333417,321,,
481,,321,267.60583413333126,
482,,321,,132.0480953333366
483,16.342206733330386,323,,
484,,323,268.2036464666647,
485,,323,,132.16689996667264
486,16.666622866667847,325,,
487,,325,269.8698574333296,
